SKU;Ürün Adı;Marka;Model;Kategori;Fiyat TL (KDV dahil);İşlev Grubu;Kullanım Yeri;Uygun Olduğu Sistemler;Açıklama
ARCPK2512;"CİVATALI PRİZ KOLYE 25X1/2""";Arangül;" 25X1/2""";Priz Kolyeler;33,98;boru üzeri priz kolye / branşman;25 mm PE ana boru üzerine kelepçelenerek dişli branşman çıkışı almak için kullanılır.;çim sulama, damla sulama, tarla sulama, peyzaj bahçesi, hobi bahçesi;"25x1/2"" ölçülerinde, 25 mm PE ana boru üzerinden sprinkler, mini vana, damla hattı vb. için 1/2"" dişli çıkış almakta kullanılan cıvatalı priz kolyedir."
ARCPK2534;"CİVATALI PRİZ KOLYE 25X3/4""";Arangül;" 25X3/4""";Priz Kolyeler;33,98;boru üzeri priz kolye / branşman;25 mm PE ana boru üzerine kelepçelenerek dişli branşman çıkışı almak için kullanılır.;çim sulama, damla sulama, tarla sulama, peyzaj bahçesi, hobi bahçesi;"25x3/4"" ölçülerinde, 25 mm PE ana boru üzerinden sprinkler, mini vana, damla hattı vb. için 3/4"" dişli çıkış almakta kullanılan cıvatalı priz kolyedir."
ARCPK321;"CİVATALI PRİZ KOLYE 32X1""";Arangül;" 32X1""";Priz Kolyeler;39,18;boru üzeri priz kolye / branşman;32 mm PE ana boru üzerine kelepçelenerek dişli branşman çıkışı almak için kullanılır.;çim sulama, damla sulama, tarla sulama, peyzaj bahçesi, hobi bahçesi;"32x1"" ölçülerinde, 32 mm PE ana boru üzerinden sprinkler, mini vana, damla hattı vb. için 1"" dişli çıkış almakta kullanılan cıvatalı priz kolyedir."
ARCPK3212;"CİVATALI PRİZ KOLYE 32X1/2""";Arangül;" 32X1/2""";Priz Kolyeler;37,56;boru üzeri priz kolye / branşman;32 mm PE ana boru üzerine kelepçelenerek dişli branşman çıkışı almak için kullanılır.;çim sulama, damla sulama, tarla sulama, peyzaj bahçesi, hobi bahçesi;"32x1/2"" ölçülerinde, 32 mm PE ana boru üzerinden sprinkler, mini vana, damla hattı vb. için 1/2"" dişli çıkış almakta kullanılan cıvatalı priz kolyedir."
ARCPK3234;"CİVATALI PRİZ KOLYE 32X3/4""";Arangül;" 32X3/4""";Priz Kolyeler;39,18;boru üzeri priz kolye / branşman;32 mm PE ana boru üzerine kelepçelenerek dişli branşman çıkışı almak için kullanılır.;çim sulama, damla sulama, tarla sulama, peyzaj bahçesi, hobi bahçesi;"32x3/4"" ölçülerinde, 32 mm PE ana boru üzerinden sprinkler, mini vana, damla hattı vb. için 3/4"" dişli çıkış almakta kullanılan cıvatalı priz kolyedir."
ARCPK401;"CİVATALI PRİZ KOLYE 40X1""";Arangül;" 40X1""";Priz Kolyeler;45,16;boru üzeri priz kolye / branşman;40 mm PE ana boru üzerine kelepçelenerek dişli branşman çıkışı almak için kullanılır.;çim sulama, damla sulama, tarla sulama, peyzaj bahçesi, hobi bahçesi;"40x1"" ölçülerinde, 40 mm PE ana boru üzerinden sprinkler, mini vana, damla hattı vb. için 1"" dişli çıkış almakta kullanılan cıvatalı priz kolyedir."
ARCPK4012;"CİVATALI PRİZ KOLYE 40X1/2""";Arangül;" 40X1/2""";Priz Kolyeler;45,16;boru üzeri priz kolye / branşman;40 mm PE ana boru üzerine kelepçelenerek dişli branşman çıkışı almak için kullanılır.;çim sulama, damla sulama, tarla sulama, peyzaj bahçesi, hobi bahçesi;"40x1/2"" ölçülerinde, 40 mm PE ana boru üzerinden sprinkler, mini vana, damla hattı vb. için 1/2"" dişli çıkış almakta kullanılan cıvatalı priz kolyedir."
ARCPK4034;"CİVATALI PRİZ KOLYE 40X3/4""";Arangül;" 40X3/4""";Priz Kolyeler;45,16;boru üzeri priz kolye / branşman;40 mm PE ana boru üzerine kelepçelenerek dişli branşman çıkışı almak için kullanılır.;çim sulama, damla sulama, tarla sulama, peyzaj bahçesi, hobi bahçesi;"40x3/4"" ölçülerinde, 40 mm PE ana boru üzerinden sprinkler, mini vana, damla hattı vb. için 3/4"" dişli çıkış almakta kullanılan cıvatalı priz kolyedir."
ARCPK501;CİVATALI PRİZ KOLYE 50x1;Arangül; 50x1;Priz Kolyeler;52,62;boru üzeri priz kolye / branşman;50 mm PE ana boru üzerine kelepçelenerek dişli branşman çıkışı almak için kullanılır.;çim sulama, damla sulama, tarla sulama, peyzaj bahçesi, hobi bahçesi;"50x1"" ölçülerinde, 50 mm PE ana boru üzerinden sprinkler, mini vana, damla hattı vb. için 1"" dişli çıkış almakta kullanılan cıvatalı priz kolyedir."
ARCPK5012;"CİVATALI PRİZ KOLYE 50x1/2""";Arangül;" 50x1/2""";Priz Kolyeler;52,62;boru üzeri priz kolye / branşman;50 mm PE ana boru üzerine kelepçelenerek dişli branşman çıkışı almak için kullanılır.;çim sulama, damla sulama, tarla sulama, peyzaj bahçesi, hobi bahçesi;"50x1/2"" ölçülerinde, 50 mm PE ana boru üzerinden sprinkler, mini vana, damla hattı vb. için 1/2"" dişli çıkış almakta kullanılan cıvatalı priz kolyedir."
